Keyword,Views,lang,Top 3 Pages,Class
Documentary,17810000.0,en,"8510000.0: https://www.youtube.com/watch?v=9HZ_sPCbBVU&pp=ygUETWV4Yw%3D%3D
7690000.0: https://www.youtube.com/watch?v=26raYPP4n7Q&pp=ygUETWV4Yw%3D%3D
1610000.0: https://www.youtube.com/watch?v=jl4lzZ_WuXU&pp=ygUETWV4Yw%3D%3D",Mexc
FreeDocumentary,10120000.0,en,"8510000.0: https://www.youtube.com/watch?v=9HZ_sPCbBVU&pp=ygUETWV4Yw%3D%3D
1610000.0: https://www.youtube.com/watch?v=jl4lzZ_WuXU&pp=ygUETWV4Yw%3D%3D",Mexc
news,9692770.0,en,"26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D
9400000.0: https://www.youtube.com/watch?v=SIFvY06_-1Q&pp=ygUETWV4Yw%3D%3D
190000.0: https://www.youtube.com/watch?v=qh96ivJjy0A&pp=ygUETWV4Yw%3D%3D",Mexc
pakistanflood2022,9400000.0,en,9400000.0: https://www.youtube.com/watch?v=SIFvY06_-1Q&pp=ygUETWV4Yw%3D%3D,Mexc
2022flood,9400000.0,en,9400000.0: https://www.youtube.com/watch?v=SIFvY06_-1Q&pp=ygUETWV4Yw%3D%3D,Mexc
fullreport,9400000.0,en,9400000.0: https://www.youtube.com/watch?v=SIFvY06_-1Q&pp=ygUETWV4Yw%3D%3D,Mexc
Thefullreportaljazeera,9400000.0,en,9400000.0: https://www.youtube.com/watch?v=SIFvY06_-1Q&pp=ygUETWV4Yw%3D%3D,Mexc
Pakistan,9400000.0,en,"9400000.0: https://www.youtube.com/watch?v=SIFvY06_-1Q&pp=ygUETWV4Yw%3D%3D
4894.0: https://www.youtube.com/watch?v=-rql9jC_G_Y&pp=ygUETWV4Yw%3D%3D",Mexc
BehindBars,8510000.0,en,8510000.0: https://www.youtube.com/watch?v=9HZ_sPCbBVU&pp=ygUETWV4Yw%3D%3D,Mexc
F1,8370000.0,en,"4830000.0: https://www.youtube.com/watch?v=d1-VK12FZhs&pp=ygUETWV4Yw%3D%3D
3540000.0: https://www.youtube.com/watch?v=dZxH139j6os&pp=ygUETWV4Yw%3D%3D",Mexc
DrewBinsky,8260000.0,sv,8260000.0: https://www.youtube.com/watch?v=OuF19EAP9E0&pp=ygUETWV4Yw%3D%3D,Mexc
CocaCola,8260000.0,en,8260000.0: https://www.youtube.com/watch?v=OuF19EAP9E0&pp=ygUETWV4Yw%3D%3D,Mexc
CNBC,7840000.0,en,"5490000.0: https://www.youtube.com/watch?v=bEh0Q94Gjss&pp=ygUETWV4Yw%3D%3D
1570000.0: https://www.youtube.com/watch?v=71bpe4dsAIc&pp=ygUETWV4Yw%3D%3D
780000.0: https://www.youtube.com/watch?v=vs-aRBsGbxc&pp=ygUETWV4Yw%3D%3D",Mexc
History,7690000.0,en,7690000.0: https://www.youtube.com/watch?v=26raYPP4n7Q&pp=ygUETWV4Yw%3D%3D,Mexc
